,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Byhøjparken 54, 1. tv.,8380",2.175.000 kr.,Bakkegårdsskolen,837 m,6.4,3.7,Ejerlejlighed,Energimærke A2015,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 52 dage,98 m²,Ejerudg.: 1.350 kr/md,Elevator: Nej,4 værelser,Opført 2024,-,Altan: Ja,Terrasse: Nej,8380,https://www.boligsiden.dk/addresses/78f84bf4-be06-423e-b78e-70dd48dcd2cc,,
"Dalbyvej 23,7200",1.348.000 kr.,Lynghedeskolen,"1,59 km",7,3.7,Villa,Energimærke D,Lav,24%,"18,48‰.","Der er 26.631 indbyggere i Billund Kommune. Kommuneskatten er på 24% og grundskyldspromillen på 18,48‰.",Til salg i alt: 52 dage,120 m²,Ejerudg.: 1.330 kr/md,,5 værelser,Opført 1953,1 toilet,,,7200,https://www.boligsiden.dk/addresses/0a3f50b9-843a-32b8-e044-0003ba298018,Grund: 839 m²,
"Sandbjergvej 75A,2950",9.500.000 kr.,Rungsted Skole,"2,82 km",8.5,3.8,Rækkehus,Energimærke B,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 51 dage,186 m²,Ejerudg.: 5.802 kr/md,,4 værelser,Opført 1877,2 toiletter,,,2950,https://www.boligsiden.dk/addresses/0a3f50aa-1eea-32b8-e044-0003ba298018,Grund: 200 m²,
"Kulsvier Huse 4,3400",2.995.000 kr.,Sophienborgskolen,"2,34 km",8.6,3.8,Villa,Energimærke C,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 269 dage,81 m²,Ejerudg.: 2.906 kr/md,,3 værelser,Opført 1988,1 toilet,,,3400,https://www.boligsiden.dk/addresses/0a3f50a9-c0c5-32b8-e044-0003ba298018,Grund: 398 m²,
"Græsted Vænge 30,3230",4.795.000 kr.,Gribskolen  Græsted,414 m,6.5,3.6,Villa,Energimærke C,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 52 dage,232 m²,Ejerudg.: 4.355 kr/md,,7 værelser,Opført 1999,3 toiletter,,,3230,https://www.boligsiden.dk/addresses/0a3f50a8-bcb9-32b8-e044-0003ba298018,Grund: 994 m²,
"Adelgade 36, 1.,8660",2.800.000 kr.,Morten Børup Skolen,894 m,7.4,3.7,Ejerlejlighed,Energimærke A2010,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 52 dage,117 m²,Ejerudg.: 3.098 kr/md,Elevator: Nej,3 værelser,Opført 1858,1 toilet,Altan: Nej,Terrasse: Nej,8660,https://www.boligsiden.dk/addresses/7b63dc23-12fd-4167-8b66-457bc82c290c,,
"Doktorvænget 39, st. tv.,7500",725.000 kr.,Nørre Boulevard Skolen,"1,24 km",7.4,3.8,Ejerlejlighed,Energimærke E,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 52 dage,79 m²,Ejerudg.: 2.337 kr/md,Elevator: Nej,3 værelser,Opført 1963,1 toilet,Altan: Ja,Terrasse: Nej,7500,https://www.boligsiden.dk/addresses/0a3f50bd-f448-32b8-e044-0003ba298018,,
"Ulvemosen 8, 1. th.,2960",5.250.000 kr.,Rungsted Skole,217 m,8.5,3.8,Ejerlejlighed,Energimærke C,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 52 dage,104 m²,Ejerudg.: 7.577 kr/md,Elevator: Nej,4 værelser,Opført 1981,2 toiletter,Altan: Nej,Terrasse: Nej,2960,https://www.boligsiden.dk/addresses/0a3f50aa-277a-32b8-e044-0003ba298018,,
"Onsholtgårdsvej 112,8260",5.595.000 kr.,Højvangskolen,878 m,7.3,3.7,Villa,Energimærke A2015,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 433 dage,184 m²,Ejerudg.: 3.665 kr/md,,5 værelser,Opført 2019,2 toiletter,,,8260,https://www.boligsiden.dk/addresses/684ead88-f18b-4101-b7d4-31df34dc2f9d,Grund: 979 m²,
"Kindhestegade 4, 2. 4.,4700",2.695.000 kr.,Lille Næstved Skole,625 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke D,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 52 dage,132 m²,Ejerudg.: 2.629 kr/md,Elevator: Nej,4 værelser,Opført 1948,1 toilet,Altan: Nej,Terrasse: Nej,4700,https://www.boligsiden.dk/addresses/0a3f50b0-9329-32b8-e044-0003ba298018,,
"Hestehavevej 2,8410",5.495.000 kr.,Rønde Skole,"1,48 km",7.1,3.7,Villa,Energimærke A2010,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 134 dage,306 m²,Ejerudg.: 2.412 kr/md,,7 værelser,Opført 1908,2 toiletter,,,8410,https://www.boligsiden.dk/addresses/0a3f50c1-9896-32b8-e044-0003ba298018,Grund: 846 m²,
"Ørestads Boulevard 57A, 1. 107.,2300",3.595.000 kr.,Distrikt Ørestad,374 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke A2010,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 52 dage,113 m²,Ejerudg.: 5.552 kr/md,Elevator: Ja,3 værelser,Opført 2005,1 toilet,Altan: Ja,Terrasse: Nej,2300,https://www.boligsiden.dk/addresses/0a3f50a1-d012-32b8-e044-0003ba298018,,
"Poppelvænget 7,7950",1.195.000 kr.,Midtmors Skole,"1,92 km",6.3,3.7,Villa,Energimærke D,Mellem,"25,8%","24,68‰.","Der er 20.068 indbyggere i Morsø Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 24,68‰.",Til salg i alt: 52 dage,158 m²,Ejerudg.: 987 kr/md,,5 værelser,Opført 1985,2 toiletter,,,7950,https://www.boligsiden.dk/addresses/0a3f50c5-5799-32b8-e044-0003ba298018,Grund: 787 m²,
"Nymarks Allé 231,8320",3.495.000 kr.,Mårslet Skole,"1,28 km",7.9,3.8,Rækkehus,Energimærke A2015,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 110 dage,133 m²,Ejerudg.: 2.743 kr/md,,5 værelser,Opført 2019,2 toiletter,,,8320,https://www.boligsiden.dk/addresses/669bdca4-41b3-4bed-b105-993144f5e137,Grund: 232 m²,
"Mariane Thomsens Gade 30, 9.,8000",9.250.000 kr.,Samsøgades Skole,"1,68 km",6.9,3.6,Ejerlejlighed,Energimærke A2010,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 52 dage,218 m²,Ejerudg.: 9.609 kr/md,Elevator: Ja,4 værelser,Opført 2013,2 toiletter,Altan: Ja,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/9ef8b9d8-70d9-4735-83dc-a62d2c0f89d9,,
"Ugandavej 176,2770",3.945.000 kr.,Skelgårdsskolen,652 m,6.6,3.6,Villa,Energimærke E,Mellem,"23,1%",24‰.,"Der er 42.723 indbyggere i Tårnby Kommune. Kommuneskatten er på 23,1% og grundskyldspromillen på 24‰.",Til salg i alt: 52 dage,122 m²,Ejerudg.: 4.008 kr/md,,4 værelser,Opført 1962,1 toilet,,,2770,https://www.boligsiden.dk/addresses/0a3f50a7-736a-32b8-e044-0003ba298018,Grund: 713 m²,
"Stægers Alle 19,2000",22.500.000 kr.,Lindevangskolen,401 m,7.4,3.7,Villa,Energimærke D,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 382 dage,195 m²,Ejerudg.: 12.491 kr/md,,7 værelser,Opført 1919,2 toiletter,,,2000,https://www.boligsiden.dk/addresses/0a3f50a2-ce8a-32b8-e044-0003ba298018,Grund: 661 m²,
"Lundegårdsvej 8,4970",1.295.000 kr.,Rødby Skole,"2,5 km",6,3.7,Landejendom/Fritidsbolig,Energimærke C,Meget høj,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 52 dage,215 m²,Ejerudg.: 1.735 kr/md,,8 værelser,Opført 1870,1 toilet,,,4970,https://www.boligsiden.dk/addresses/0a3f50b1-1fab-32b8-e044-0003ba298018,Grund: 15339 m²,
"Nisset Bygade 1,8632",1.195.000 kr.,Skægkærskolen,"4,09 km",7,3.7,Villa,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 993 dage,216 m²,Ejerudg.: 1.387 kr/md,,6 værelser,Opført 1887,2 toiletter,,,8632,https://www.boligsiden.dk/addresses/0a3f50c1-f50a-32b8-e044-0003ba298018,Grund: 572 m²,
"Meløsevej 25,3320",7.600.000 kr.,Kornmarkskolen,"1,06 km",7.1,3.7,Landejendom,Energimærke A2015,Høj,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 51 dage,180 m²,Ejerudg.: 3.673 kr/md,,4 værelser,Opført 2017,2 toiletter,,,3320,https://www.boligsiden.dk/addresses/0a3f50aa-8464-32b8-e044-0003ba298018,Grund: 58371 m²,
"Mesterrækken 39,5350",1.350.000 kr.,Nymarken Skole og Børnehus,"2,09 km",7.5,3.8,Villa,Energimærke C,Høj,"26,1%","30,3‰.","Der er 24.034 indbyggere i Kerteminde Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 30,3‰.",Til salg i alt: 51 dage,120 m²,Ejerudg.: 1.486 kr/md,,4 værelser,Opført 1961,1 toilet,,,5350,https://www.boligsiden.dk/addresses/0a3f50b2-f56c-32b8-e044-0003ba298018,Grund: 1000 m²,
"Skovmøllevej 16,5881",2.295.000 kr.,Thurø Skole,"2,29 km",7.4,3.9,Villa,Energimærke C,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 52 dage,241 m²,Ejerudg.: 3.305 kr/md,,8 værelser,Opført 1827,2 toiletter,,,5881,https://www.boligsiden.dk/addresses/0a3f50b5-9d59-32b8-e044-0003ba298018,Grund: 2332 m²,
"Hesselbjergvej 67,3210",6.200.000 kr.,Sankt Helene Vejby,"3,65 km",6.8,3.7,Villa,Energimærke A2010,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 52 dage,310 m²,Ejerudg.: 3.813 kr/md,,10 værelser,Opført 1894,1 toilet,,,3210,https://www.boligsiden.dk/addresses/0a3f50a8-c046-32b8-e044-0003ba298018,Grund: 9884 m²,
"Vilhelm Bergsøes Alle 11,2860",11.250.000 kr.,Søborg Skole,232 m,7.9,3.7,Villa,Energimærke F,Lav,"23,6%",23‰.,"Der er 69.259 indbyggere i Gladsaxe Kommune. Kommuneskatten er på 23,6% og grundskyldspromillen på 23‰.",Til salg i alt: 52 dage,168 m²,Ejerudg.: 5.770 kr/md,,6 værelser,Opført 1926,2 toiletter,,,2860,https://www.boligsiden.dk/addresses/0a3f50a4-9fdd-32b8-e044-0003ba298018,Grund: 861 m²,
"Obbekjærvej 12,6760",1.498.000 kr.,Ansgarskolen,629 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 51 dage,109 m²,Ejerudg.: 1.663 kr/md,,4 værelser,Opført 1959,1 toilet,,,6760,https://www.boligsiden.dk/addresses/0a3f50b9-cce5-32b8-e044-0003ba298018,Grund: 1083 m²,
"Havlundsvej 36,8250",7.495.000 kr.,Skæring Skole,"1,85 km",7.9,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 232 dage,175 m²,Ejerudg.: 5.849 kr/md,,6 værelser,Opført 1959,1 toilet,,,8250,https://www.boligsiden.dk/addresses/0a3f50c3-1512-32b8-e044-0003ba298018,Grund: 1000 m²,
"Gl. Færgevej 31A,7000",10.990.000 kr.,"Erritsø Fællesskole, Afd. Højmosen","1,31 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 52 dage,246 m²,Ejerudg.: 4.548 kr/md,,8 værelser,Opført 1978,3 toiletter,,,7000,https://www.boligsiden.dk/addresses/0a3f50ba-9a93-32b8-e044-0003ba298018,Grund: 1087 m²,
"Folemestervej 13,3400",4.695.000 kr.,Hillerødsholmskolen,415 m,7.3,3.7,Villa,Energimærke D,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 52 dage,159 m²,Ejerudg.: 3.689 kr/md,,6 værelser,Opført 1967,2 toiletter,,,3400,https://www.boligsiden.dk/addresses/0a3f50a9-a88c-32b8-e044-0003ba298018,Grund: 703 m²,
"Højagerparken 38,8471",3.798.000 kr.,Sabro-Korsvejskolen,"1,1 km",7.1,3.6,Villa,Energimærke B,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 52 dage,147 m²,Ejerudg.: 2.477 kr/md,,5 værelser,Opført 2005,2 toiletter,,,8471,https://www.boligsiden.dk/addresses/0a3f50c3-35f4-32b8-e044-0003ba298018,Grund: 761 m²,
"Bredetvedvej 23,4300",14.995.000 kr.,Bjergmarkskolen,"3,9 km",6.8,3.7,Landejendom,Energimærke A2020,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 52 dage,354 m²,Ejerudg.: 2.969 kr/md,,4 værelser,Opført 1908,2 toiletter,,,4300,https://www.boligsiden.dk/addresses/0a3f50ad-308d-32b8-e044-0003ba298018,Grund: 84281 m²,
"Rungsted Strandvej 303,2970",11.500.000 kr.,Vallerødskolen,"1,73 km",8.2,3.9,Villa,Energimærke B,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 52 dage,274 m²,Ejerudg.: 6.288 kr/md,,7 værelser,Opført 1899,3 toiletter,,,2970,https://www.boligsiden.dk/addresses/0a3f50aa-1d75-32b8-e044-0003ba298018,Grund: 1057 m²,
"Dybbølsten 8,6400",3.195.000 kr.,Dybbøl-Skolen,498 m,7.7,3.9,Villa,Energimærke D,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 52 dage,175 m²,Ejerudg.: 2.217 kr/md,,5 værelser,Opført 1968,1 toilet,,,6400,https://www.boligsiden.dk/addresses/0a3f50b7-a0c2-32b8-e044-0003ba298018,Grund: 984 m²,
"Dronningensgade 42, 3. 2.,1420",3.495.000 kr.,Christianshavns Skole,439 m,7.5,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 51 dage,54 m²,Ejerudg.: 2.915 kr/md,Elevator: Ja,2 værelser,Opført 1962,1 toilet,Altan: Nej,Terrasse: Nej,1420,https://www.boligsiden.dk/addresses/0a3f509d-ce8a-32b8-e044-0003ba298018,,
"Edvard Thomsens Vej 5C, 7. tv.,2300",4.995.000 kr.,Distrikt Ørestad,536 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 52 dage,112 m²,Ejerudg.: 5.006 kr/md,Elevator: Ja,4 værelser,Opført 2007,1 toilet,Altan: Ja,Terrasse: Nej,2300,https://www.boligsiden.dk/addresses/45f29248-9e36-2b68-e044-0003ba298018,,
"Fasanvej 13,8300",3.295.000 kr.,Parkvejens Skole,808 m,7,3.7,Villa,Energimærke D,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 52 dage,159 m²,Ejerudg.: 2.925 kr/md,,6 værelser,Opført 1961,2 toiletter,,,8300,https://www.boligsiden.dk/addresses/0a3f50c0-9ac6-32b8-e044-0003ba298018,Grund: 868 m²,
"Parallelvej 1,9490",498.000 kr.,Skolecenter Jetsmark,"1,85 km",6.6,3.7,Villa,Energimærke G,Mellem,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 51 dage,110 m²,Ejerudg.: 1.286 kr/md,,3 værelser,Opført 1954,1 toilet,,,9490,https://www.boligsiden.dk/addresses/0a3f50c8-ec1d-32b8-e044-0003ba298018,Grund: 1080 m²,
"Pilevej 2,5683",2.395.000 kr.,Haarby Skole,701 m,7,3.7,Villa,Energimærke C,Høj,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 52 dage,163 m²,Ejerudg.: 1.229 kr/md,,6 værelser,Opført 1964,2 toiletter,,,5683,https://www.boligsiden.dk/addresses/0a3f50b2-e1a2-32b8-e044-0003ba298018,Grund: 913 m²,
"Hobrovej 21,7840",1.445.000 kr.,Højslev Skole,"6,04 km",7.5,3.7,Villa/Landejendom,Energimærke D,Mellem,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 320 dage,150 m²,Ejerudg.: 2.113 kr/md,,4 værelser,Opført 1939,1 toilet,,,7840,https://www.boligsiden.dk/addresses/0a3f50c5-9b9c-32b8-e044-0003ba298018,Grund: 7000 m²,
"Langelinie 122,5230",9.995.000 kr.,Hunderupskolen,"1,11 km",8,3.8,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 52 dage,182 m²,Ejerudg.: 5.474 kr/md,,6 værelser,Opført 1912,3 toiletter,,,5230,https://www.boligsiden.dk/addresses/0a3f50b4-41e7-32b8-e044-0003ba298018,Grund: 721 m²,
"Rundhøj Allé 80A, 1. tv.,8270",798.000 kr.,Rundhøjskolen,314 m,7.7,3.7,Ejerlejlighed,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 204 dage,37 m²,Ejerudg.: 1.018 kr/md,Elevator: Nej,1 værelser,Opført 1970,1 toilet,Altan: Nej,Terrasse: Nej,8270,https://www.boligsiden.dk/addresses/0a3f50c3-fb37-32b8-e044-0003ba298018,,
"Ølunden 25,5330",1.750.000 kr.,Munkebo Skole - mellem nor og fjord,864 m,6.3,3.6,Villa,Energimærke C,Høj,"26,1%","30,3‰.","Der er 24.034 indbyggere i Kerteminde Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 30,3‰.",Til salg i alt: 52 dage,110 m²,Ejerudg.: 1.260 kr/md,,4 værelser,Opført 1964,1 toilet,,,5330,https://www.boligsiden.dk/addresses/0a3f50b3-4b57-32b8-e044-0003ba298018,Grund: 854 m²,
"Smørvråvej 7,5462",1.695.000 kr.,Havrehedskolen,562 m,7.8,3.9,Villa,Energimærke D,Høj,26%,"29,98‰.","Der er 29.714 indbyggere i Nordfyns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 29,98‰.",Til salg i alt: 52 dage,136 m²,Ejerudg.: 2.606 kr/md,,5 værelser,Opført 1971,2 toiletter,,,5462,https://www.boligsiden.dk/addresses/0a3f50b5-d64d-32b8-e044-0003ba298018,Grund: 860 m²,
"Frilandsvej 84,9800",1.495.000 kr.,Hjørring Sydøstskole,865 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 51 dage,125 m²,Ejerudg.: 1.468 kr/md,,3 værelser,Opført 1898,2 toiletter,,,9800,https://www.boligsiden.dk/addresses/0a3f50c8-1306-32b8-e044-0003ba298018,Grund: 374 m²,
"Sorgenfri Allé 40,5250",5.775.000 kr.,Tingløkkeskolen,160 m,7.7,3.9,Villa,Energimærke C,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 380 dage,171 m²,Ejerudg.: 3.307 kr/md,,6 værelser,Opført 1933,2 toiletter,,,5250,https://www.boligsiden.dk/addresses/0a3f50b4-c1f6-32b8-e044-0003ba298018,Grund: 789 m²,
"Sneglevej 5,7680",465.000 kr.,"Tangen Skole og Børnecenter, Afd. Thyborøn","1,2 km",6.6,3.8,Villa/Fritidsbolig,Energimærke D,Meget lav,"25,46%",28‰.,"Der er 19.398 indbyggere i Lemvig Kommune. Kommuneskatten er på 25,46% og grundskyldspromillen på 28‰.",Til salg i alt: 52 dage,61 m²,Ejerudg.: 892 kr/md,,3 værelser,Opført 1944,1 toilet,,,7680,https://www.boligsiden.dk/addresses/0a3f50be-f8c4-32b8-e044-0003ba298018,Grund: 505 m²,
"Wildersgade 43, st.,1408",6.495.000 kr.,Christianshavns Skole,343 m,7.5,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 260 dage,101 m²,Ejerudg.: 4.536 kr/md,Elevator: Nej,4 værelser,Opført 1800,1 toilet,Altan: Nej,Terrasse: Nej,1408,https://www.boligsiden.dk/addresses/0a3f50a1-b3de-32b8-e044-0003ba298018,,
"Lillegade 24,4070",2.395.000 kr.,Kirke Hyllinge Skole,156 m,6.9,3.6,Villa,Energimærke B,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 52 dage,153 m²,Ejerudg.: 2.819 kr/md,,3 værelser,Opført 1873,1 toilet,,,4070,https://www.boligsiden.dk/addresses/0a3f50aa-d394-32b8-e044-0003ba298018,Grund: 374 m²,
"Søndervej 30,5700",3.795.000 kr.,Thurø Skole,724 m,7.4,3.9,Villa,Energimærke C,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 52 dage,256 m²,Ejerudg.: 2.489 kr/md,,7 værelser,Opført 1905,2 toiletter,,,5700,https://www.boligsiden.dk/addresses/22729a66-a52f-44d0-e044-0003ba298018,Grund: 724 m²,
"Løgstørvej 112,9600",2.095.000 kr.,Hornum Skole,"4,52 km",6.8,3.7,Villa/Landejendom,Energimærke D,Mellem,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 52 dage,195 m²,Ejerudg.: 1.784 kr/md,,5 værelser,Opført 1952,1 toilet,,,9600,https://www.boligsiden.dk/addresses/0a3f50cb-2156-32b8-e044-0003ba298018,Grund: 15132 m²,
"Præstemarksvej 13,4070",2.095.000 kr.,Kirke Hyllinge Skole,299 m,6.9,3.6,Villa,Energimærke C,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 52 dage,110 m²,Ejerudg.: 2.837 kr/md,,4 værelser,Opført 1966,2 toiletter,,,4070,https://www.boligsiden.dk/addresses/0a3f50aa-d629-32b8-e044-0003ba298018,Grund: 800 m²,
"Krogdalsvej 6,8660",14.685.000 kr.,Morten Børup Skolen,"4,69 km",7.4,3.7,Landejendom,Energimærke A2010,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 512 dage,277 m²,Ejerudg.: 5.167 kr/md,,19 værelser,Opført 1840,3 toiletter,,,8660,https://www.boligsiden.dk/addresses/0a3f50c1-88f7-32b8-e044-0003ba298018,Grund: 97750 m²,
"Ydingvej 98,8660",10.900.000 kr.,Ejer Bavnehøjskolen,"5,04 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke A2015,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 52 dage,195 m²,Ejerudg.: 4.127 kr/md,,6 værelser,Opført 2021,2 toiletter,,,8660,https://www.boligsiden.dk/addresses/0a3f50ba-4c8a-32b8-e044-0003ba298018,Grund: 172057 m²,
"Vyffs Vej 19,6000",3.495.000 kr.,Vonsild Skole,635 m,7.2,3.8,Villa,Energimærke C,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 52 dage,231 m²,Ejerudg.: 2.073 kr/md,,6 værelser,Opført 1947,2 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-59a1-32b8-e044-0003ba298018,Grund: 768 m²,
