,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Sct Laurentii Gade 25,6760",3.198.000 kr.,Vittenbergskolen,920 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke C,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 44 dage,85 m²,Ejerudg.: 2.182 kr/md,,4 værelser,Opført 1904,1 toilet,,,6760,https://www.boligsiden.dk/addresses/0a3f50b9-d152-32b8-e044-0003ba298018,Grund: 292 m²,
"Øverødvej 49,2840",12.750.000 kr.,Holte Skole,954 m,8.6,3.8,Villa,Energimærke B,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 239 dage,183 m²,Ejerudg.: 7.226 kr/md,,8 værelser,Opført 1947,1 toilet,,,2840,https://www.boligsiden.dk/addresses/0a3f50a7-0388-32b8-e044-0003ba298018,Grund: 1615 m²,
"Sommerfuglevej 6,6000",1.395.000 kr.,Lyshøjskolen,"1,4 km",8.1,3.9,Villa,Energimærke E,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 345 dage,147 m²,Ejerudg.: 2.175 kr/md,,6 værelser,Opført 1870,1 toilet,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-44f4-32b8-e044-0003ba298018,Grund: 1363 m²,
"Stranden 56,6000",9.950.000 kr.,Lyshøjskolen,"2,05 km",8.1,3.9,Villa,Energimærke B,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 466 dage,265 m²,Ejerudg.: 5.072 kr/md,,7 værelser,Opført 1977,3 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bc-4879-32b8-e044-0003ba298018,Grund: 911 m²,
"Smidsholmvej 6,4560",2.495.000 kr.,Vig Skole,"2,55 km",6.3,3.5,Villa,Energimærke C,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 325 dage,245 m²,Ejerudg.: 2.500 kr/md,,5 værelser,Opført 1880,1 toilet,,,4560,https://www.boligsiden.dk/addresses/0a3f50af-4ade-32b8-e044-0003ba298018,Grund: 3427 m²,
"Gl. Bjært 53,6091",1.795.000 kr.,Sdr. Bjert Skole,"1,06 km",8,3.9,Villa,Energimærke C,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 45 dage,204 m²,Ejerudg.: 2.446 kr/md,,6 værelser,Opført 1969,2 toiletter,,,6091,https://www.boligsiden.dk/addresses/0a3f50bb-fe11-32b8-e044-0003ba298018,Grund: 957 m²,
"Nattergalevej 25,8210",5.598.000 kr.,Møllevangskolen,535 m,6.8,3.7,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 45 dage,145 m²,Ejerudg.: 3.699 kr/md,,6 værelser,Opført 1930,1 toilet,,,8210,https://www.boligsiden.dk/addresses/0a3f50c3-b2b9-32b8-e044-0003ba298018,Grund: 788 m²,
"Øverste Skovbymark 4,5985",2.150.000 kr.,Marstal Skole,"14,09 km",7.1,3.7,Villa/Fritidsbolig,Energimærke D,Høj,"26,1%",30‰.,"Der er 6.025 indbyggere i Ærø Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 30‰.",Til salg i alt: 44 dage,166 m²,Ejerudg.: 2.503 kr/md,,6 værelser,Opført 1884,1 toilet,,,5985,https://www.boligsiden.dk/addresses/0a3f50b6-14e6-32b8-e044-0003ba298018,Grund: 18574 m²,
"Bronzevej 108,5250",4.195.000 kr.,Rasmus Rask-Skolen,883 m,7.4,3.7,Villa,Energimærke A2015,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 45 dage,165 m²,Ejerudg.: 2.754 kr/md,,5 værelser,Opført 2020,2 toiletter,,,5250,https://www.boligsiden.dk/addresses/85af8bda-fae6-48fa-bed8-572db8ee290c,Grund: 744 m²,
"Algade 9,9320",1.695.000 kr.,Hjallerup Skole,285 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 781 dage,182 m²,Ejerudg.: 1.752 kr/md,,6 værelser,Opført 1911,2 toiletter,,,9320,https://www.boligsiden.dk/addresses/0a3f50c7-0352-32b8-e044-0003ba298018,Grund: 602 m²,
"Bavnevej 23,8831",2.595.000 kr.,Løgstrup Skole,"2,25 km",7.1,3.7,Villa,Energimærke A2020,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 44 dage,247 m²,Ejerudg.: 2.381 kr/md,,6 værelser,Opført 2009,2 toiletter,,,8831,https://www.boligsiden.dk/addresses/0a3f50c6-50f6-32b8-e044-0003ba298018,Grund: 2979 m²,
