,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Rooms_imputed,Trivsel_imputed,Grades_imputed,Toilets_imputed
"Hjulbjergvej 44C,8270",2995000.0,Holme Skole,0.615,7.4,3.7,Rækkehus, A2010,Høj,24.52,24.58,"Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",5.0,84.0,86.0,3.113,1 toilet,1999,1.0,8270,https://www.boligsiden.dk/addresses/0a3f50c3-236b-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Islands Brygge 36A, 2. 3.,2300",5650000.0,Skolen på Islands Brygge,1.09,7.4,3.7,Ejerlejlighed, B,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",5.0,80.0,80.0,4.34,1 toilet,2012,1.0,2300,https://www.boligsiden.dk/addresses/de9197c1-d660-4b19-adcc-deb792ade4b5,1,1,0,0,0,0,0
"Kystvej 87,9280",1445000.0,Mou Skole,4.35,6.5,3.7,Villa, D,Lav,25.4,26.95,"Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",389.0,208.0,4060.0,1.657,2 toiletter,1877,2.0,9280,https://www.boligsiden.dk/addresses/0a3f50c9-063e-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"C.F. Møllers Allé 2B, 7. th.,2300",4695000.0,Distrikt Ørestad,0.629,7.18298800436205,3.7237731733914936,Ejerlejlighed, A2010,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",6.0,94.0,94.0,3.917,1 toilet,2012,1.0,2300,https://www.boligsiden.dk/addresses/da6185e6-8136-4825-83c5-3a7368d48dbc,1,1,0,0,1,1,0
"Plejlen 25,8800",2695000.0,Houlkærskolen,0.955,7.2,3.9,Villa, A2010,Høj,25.5,23.7,"Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",6.0,140.0,885.0,1.753,2 toiletter,1976,2.0,8800,https://www.boligsiden.dk/addresses/0a3f50c6-8d12-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Monbergsvej 6,5000",4475000.0,Sct Hans Skole,0.293,7.1,3.7,Villa, C,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",370.0,165.0,946.0,2.977,2 toiletter,1912,2.0,5000,https://www.boligsiden.dk/addresses/0a3f50b4-57c5-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Teglgårdsvej 635, 2. tv.,3050",1600000.0,Humlebæk Skole,0.552,7.8,3.8,Ejerlejlighed, D,Mellem,25.3,24.65,"Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",6.0,67.0,67.0,2.969,1 toilet,1975,1.0,3050,https://www.boligsiden.dk/addresses/0a3f50a8-4485-32b8-e044-0003ba298018,0,1,0,0,0,0,0
"Oktobervej 1,6705",2098000.0,Skads Skole,0.36,7.013960916948516,3.7173431040962046,Villa, D,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",6.0,152.0,805.0,1.861,2 toiletter,1972,2.0,6705,https://www.boligsiden.dk/addresses/0a3f50b9-2015-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Vinbjergvej 8,6960",1845000.0,Hvide Sande Skole,1.27,7.0,3.7,Villa, C,Meget lav,25.0,31.0,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,6.0,139.0,454.0,1.442,1 toilet,1986,1.0,6960,https://www.boligsiden.dk/addresses/0a3f50bd-dd92-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Kvisselholtvej 7,9330",895000.0,Flauenskjold Skole,2.54,7.013960916948516,3.7173431040962046,Villa, C,Lav,26.3,31.23,"Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",298.0,147.0,788.0,1.169,2 toiletter,1944,2.0,9330,https://www.boligsiden.dk/addresses/0a3f50c7-0de0-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Tornebakken 67,8240",2995000.0,Ellevangskolen,0.548,7.7,3.8,Rækkehus, B,Høj,24.52,24.58,"Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",6.0,92.0,4663.0,2.983,1 toilet,1984,1.0,8240,https://www.boligsiden.dk/addresses/0a3f50c4-8178-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Havnevej 97,8500",1045000.0,Søren Kanne-Skolen,0.685,6.5,3.6,Villa, C,Mellem,26.0,34.0,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,6.0,90.0,883.0,1.452,1 toilet,1890,1.0,8500,https://www.boligsiden.dk/addresses/0a3f50bf-cf0c-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Mosevang 3,4690",2595000.0,"Ny-Vest, Sofiendalskolen",1.19,7.013960916948516,3.7173431040962046,Villa, C,Høj,25.8,25.0,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",6.0,162.0,1090.0,3.164,1 toilet,1962,1.0,4690,https://www.boligsiden.dk/addresses/0a3f50ad-1859-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Flintelunden 2,2660",4195000.0,Brøndby Strand Skole - Dyringparken,0.769,5.9,3.7,Villa, C,Høj,24.3,20.5,"Der er 35.651 indbyggere i Brøndby Kommune. Kommuneskatten er på 24,3% og grundskyldspromillen på 20,5‰.",6.0,101.0,607.0,2.685,1 toilet,2001,1.0,2660,https://www.boligsiden.dk/addresses/0a3f50a3-5563-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Grønnevangen 10,5750",1695000.0,Tingagerskolen,0.582,6.6,3.7,Villa, D,Meget høj,26.1,22.85,"Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",6.0,182.0,945.0,1.677,2 toiletter,1968,2.0,5750,https://www.boligsiden.dk/addresses/0a3f50b5-2f35-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Solsortevej 15,8860",1785000.0,Ulstrup Skole,1.03,6.8,3.7,Villa, C,Mellem,25.7,23.32,"Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",6.0,151.0,1162.0,1.514,2 toiletter,1977,2.0,8860,https://www.boligsiden.dk/addresses/0a3f50c5-0d31-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Musse Gade 24B,4880",1295000.0,Nysted Skole,8.19,6.5,3.6,Villa, D,Høj,25.8,32.34,"Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",5.0,95.0,791.0,998.0,1 toilet,2007,1.0,4880,https://www.boligsiden.dk/addresses/16d19f5b-e78c-16bd-e044-0003ba298018,0,0,0,0,0,0,0
"Borups Allé 237, 1. th.,2400",2795000.0,Grøndalsvængets Skole,0.423,6.3,3.6,Ejerlejlighed, D,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",6.0,67.0,67.0,3.058,1 toilet,1921,1.0,2400,https://www.boligsiden.dk/addresses/0a3f509d-7ae5-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Wørishøffersgade 12,5800",1995000.0,Birkhovedskolen,0.197,6.9,3.7,Rækkehus, C,Høj,26.3,27.83,"Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",74.0,104.0,267.0,1.701,1 toilet,1903,1.0,5800,https://www.boligsiden.dk/addresses/0a3f50b3-7376-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Dagmarsgade 17, st. 110.,2200",2150000.0,Rådmandsgades Skole,0.254,6.1,3.7,Ejerlejlighed, C,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",6.0,47.0,47.0,2.365,1 toilet,1974,1.0,2200,https://www.boligsiden.dk/addresses/0a3f509d-b8e4-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Alhøjvænget 20,4220",2785000.0,Baggesenskolen,1.64,6.7,3.6,Villa, C,Høj,25.6,25.3,"Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",6.0,160.0,1174.0,2.621,2 toiletter,1978,2.0,4220,https://www.boligsiden.dk/addresses/0a3f50ad-cc83-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Solsortevænget 8,6760",2598000.0,Ansgarskolen,1.88,7.013960916948516,3.7173431040962046,Villa, A2010,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",5.0,237.0,1059.0,2.115,2 toiletter,1976,2.0,6760,https://www.boligsiden.dk/addresses/0a3f50b9-d51a-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Livjægergade 32, 5. th.,2100",4995000.0,Langelinieskolen,0.057,7.5,3.8,Ejerlejlighed, D,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",6.0,67.0,67.0,5.542,1 toilet,1896,1.0,2100,https://www.boligsiden.dk/addresses/0a3f509f-73dc-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Frørup Landevej 19,6070",395000.0,Christiansfeld Skole,4.19,6.6,3.8,Villa, D,Høj,25.5,25.0,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",6.0,144.0,1560.0,2.41,1 toilet,1938,1.0,6070,https://www.boligsiden.dk/addresses/0a3f50b6-76f9-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Højvej 5,8870",1095000.0,Langå Skole,1.32,6.8,3.6,Villa, D,Høj,25.8,27.93,"Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",6.0,225.0,1237.0,2.651,1 toilet,1920,1.0,8870,https://www.boligsiden.dk/addresses/0a3f50c0-3ec7-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Birkevænget 8,8585",1145000.0,Børneby Midt,0.169,6.4,3.7,Villa, B,Mellem,26.0,34.0,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,6.0,138.0,1130.0,1.234,1 toilet,1979,1.0,8585,https://www.boligsiden.dk/addresses/0a3f50c0-78e7-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Lyngbyvej 32B, 5. th.,2100",3895000.0,Nørre Fælled Skole,0.516,6.9,3.8,Ejerlejlighed, B,Mellem,23.7,34.0,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",6.0,93.0,93.0,3.682,1 toilet,1972,1.0,2100,https://www.boligsiden.dk/addresses/0a3f509f-8319-32b8-e044-0003ba298018,1,0,0,0,0,0,0
"Åvej 5,4293",1395000.0,Holbergskolen,1.56,6.4,3.5,Villa, D,Meget høj,26.3,25.74,"Der er 30.018 indbyggere i Sorø Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 25,74‰.",6.0,158.0,788.0,1.911,2 toiletter,1962,2.0,4293,https://www.boligsiden.dk/addresses/0a3f50ac-ab5e-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Hvedebakken 7,8450",4195000.0,Søndervangskolen,1.52,7.6,3.8,Villa, A2015,Høj,25.7,23.32,"Der er 48.880 indbyggere i Favrskov Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,32‰.",362.0,183.0,1016.0,2.623,2 toiletter,2021,2.0,8450,https://www.boligsiden.dk/addresses/cf4947b6-4228-4fc8-b9c2-e52507848c7a,0,0,0,0,0,0,0
"Elkærholmvej 9,6040",2450000.0,Bramdrup Skole,5.13,6.7,3.8,Villa, C,Mellem,25.5,25.0,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",748.0,170.0,1515.0,3.154,2 toiletter,2005,2.0,6040,https://www.boligsiden.dk/addresses/0a3f50ba-6c70-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Velling Kirkeby 37,6950",1298000.0,Lem Stationsskole,5.35,6.9,3.8,Villa, D,Meget lav,25.0,31.0,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,6.0,190.0,1620.0,1.516,2 toiletter,1971,2.0,6950,https://www.boligsiden.dk/addresses/0a3f50be-acb4-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Bøgebakken 8,9210",3395000.0,Solbakkeskolen,0.453,6.1,3.6,Villa, D,Lav,25.4,26.95,"Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",6.0,139.0,820.0,2.51,3 toiletter,1966,3.0,9210,https://www.boligsiden.dk/addresses/0a3f50c9-d412-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Gestelevlundevej 15,5750",1495000.0,Nordagerskolen,4.5,6.9,3.7,Villa, C,Meget høj,26.1,22.85,"Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",6.0,102.0,1000.0,1.202,1 toilet,1961,1.0,5750,https://www.boligsiden.dk/addresses/0a3f50b5-2e4a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Vedbæk Strandvej 449,2950",15495000.0,Vedbæk Skole,0.544,8.0,3.9,Villa, C,Mellem,23.21,22.93,"Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",6.0,200.0,1096.0,12.782,3 toiletter,1968,3.0,2950,https://www.boligsiden.dk/addresses/0a3f50a6-fd22-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Fænøsund Park 15, st. mf.,5500",5500000.0,Vestre Skole,1.06,7.1,3.8,Ejerlejlighed, C,Høj,25.8,21.29,"Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",6.0,124.0,124.0,5.077,2 toiletter,2005,2.0,5500,https://www.boligsiden.dk/addresses/0a3f50b3-1fc4-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Strandbygade 6, 4. 28.,6700",3998000.0,Danmarksgades Skole,0.587,7.18298800436205,3.7237731733914936,Ejerlejlighed, B,Meget lav,25.8,25.29,"Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",6.0,118.0,118.0,4.456,1 toilet,2006,1.0,6700,https://www.boligsiden.dk/addresses/29e5cd02-1671-680f-e044-0003ba298018,0,0,0,0,1,1,0
"Hans Egedes Vej 1,7000",1595000.0,"Kirstinebjergskolen, Høgevej",0.634,7.013960916948516,3.7173431040962046,Villa, D,Høj,25.5,26.0,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",6.0,132.0,824.0,1.998,2 toiletter,1956,2.0,7000,https://www.boligsiden.dk/addresses/0a3f50ba-9e63-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Utzons Allé 24,5240",3795000.0,Odinskolen,2.3,5.9,3.8,Villa, A2015,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",5.0,174.0,807.0,2.221,2 toiletter,2019,2.0,5240,https://www.boligsiden.dk/addresses/12bf58c0-0d6c-402d-ac06-63ba1e05128f,0,0,0,0,0,0,0
"Jacob Paludans Vej 75,8600",2645000.0,Balleskolen,0.336,7.1,3.7,Villa, C,Lav,25.5,28.26,"Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",6.0,145.0,1271.0,3.212,2 toiletter,1976,2.0,8600,https://www.boligsiden.dk/addresses/0a3f50c1-de9d-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Langbyvej 9,8581",10500000.0,Børneby Midt,8.62,6.4,3.7,Landejendom, A2010,Mellem,26.0,34.0,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,368.0,300.0,134895.0,3.985,2 toiletter,1924,2.0,8581,https://www.boligsiden.dk/addresses/0a3f50c0-84f6-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"H.C. Andersens Vej 41,8920",3595000.0,Hornbæk Skole,0.539,7.2,3.8,Villa, C,Høj,25.8,27.93,"Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",6.0,198.0,986.0,2.943,2 toiletter,1966,2.0,8920,https://www.boligsiden.dk/addresses/0a3f50c0-f397-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Fredensvej 11,9620",1945000.0,Aalestrup Skole,0.926,7.013960916948516,3.7173431040962046,Villa, C,Høj,26.3,22.82,"Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",872.0,254.0,1531.0,2.185,2 toiletter,1964,2.0,9620,https://www.boligsiden.dk/addresses/0a3f50c6-b019-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Myntevej 9,9380",1995000.0,Vestbjerg Skole,0.366,8.1,3.8,Villa, C,Lav,25.4,26.95,"Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",6.0,129.0,936.0,1.91,2 toiletter,1969,2.0,9380,https://www.boligsiden.dk/addresses/0a3f50ca-685b-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Strandagervej 15,3250",4495000.0,"Gilbjergskolen, Gilleleje",3.65,6.8,3.7,Villa, C,Lav,25.4,29.34,"Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",150.0,94.0,1493.0,2.426,1 toilet,1967,1.0,3250,https://www.boligsiden.dk/addresses/0a3f50a8-dd21-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Gammel Højmevej 111,5250",1695000.0,Højmeskolen,1.89,6.6,3.7,Villa, D,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",6.0,140.0,709.0,1.732,2 toiletter,1939,2.0,5250,https://www.boligsiden.dk/addresses/0a3f50b3-e4b0-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Duevej 91,2000",17995000.0,Skolen på Duevej,0.198,8.1,3.8,Villa, D,Lav,23.47,24.75,"Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",6.0,134.0,568.0,8.587,1 toilet,1923,1.0,2000,https://www.boligsiden.dk/addresses/0a3f50a2-2b3a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Dalsvinget 5,8660",2995000.0,Morten Børup Skolen,1.51,7.4,3.7,Villa, C,Mellem,26.0,24.66,"Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",6.0,120.0,857.0,2.277,1 toilet,1973,1.0,8660,https://www.boligsiden.dk/addresses/0a3f50c2-252b-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Flintholmvænget 21,5230",3145000.0,Rosengårdskolen,1.29,6.7,3.7,Villa, D,Mellem,25.5,21.71,"Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",6.0,150.0,738.0,2.727,2 toiletter,1965,2.0,5230,https://www.boligsiden.dk/addresses/0a3f50b3-db4a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Stangerupvej 26,4850",2195000.0,Stubbekøbing Skole,4.65,6.4,3.6,Villa, E,Høj,25.8,32.34,"Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",6.0,290.0,6926.0,1.938,2 toiletter,1877,2.0,4850,https://www.boligsiden.dk/addresses/0a3f50b1-693a-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Toftevangen 14,8500",1648000.0,Søren Kanne-Skolen,7.11,6.5,3.6,Villa, C,Mellem,26.0,34.0,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,6.0,146.0,840.0,1.239,2 toiletter,2006,2.0,8500,https://www.boligsiden.dk/addresses/0a3f50bf-e423-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Gravensmindevej 43,9900",1495000.0,Ravnshøj skole,5.78,7.013960916948516,3.7173431040962046,Villa, E,Mellem,26.2,29.9,"Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",6.0,179.0,14112.0,1.64,1 toilet,1927,1.0,9900,https://www.boligsiden.dk/addresses/0a3f50c7-5d87-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Malmøvej 56,8600",1999000.0,Dybkærskolen,0.589,7.4,3.8,Rækkehus, C,Lav,25.5,28.26,"Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",6.0,88.0,353.0,1.718,1 toilet,1985,1.0,8600,https://www.boligsiden.dk/addresses/0a3f50c1-f158-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Korreborgvej 21,8850",1990000.0,Bjerringbro Skole,5.83,7.0,3.5,Landejendom, E,Mellem,25.5,23.7,"Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",100.0,154.0,20005.0,2.926,1 toilet,1935,1.0,8850,https://www.boligsiden.dk/addresses/0a3f50c4-d601-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Rostrup Byvej 12,9510",495000.0,Arden Skole,5.34,6.8,3.8,Villa, F,Lav,25.9,34.0,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",378.0,190.0,788.0,992.0,1 toilet,1927,1.0,9510,https://www.boligsiden.dk/addresses/0a3f50c6-c3ec-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Rungsted Strandvej 73A,2960",9000000.0,Rungsted Skole,1.25,8.5,3.8,Villa, D,Lav,23.7,22.1,"Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",428.0,210.0,1255.0,9.34,4 toiletter,1958,4.0,2960,https://www.boligsiden.dk/addresses/0a3f50aa-1d00-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Ordrupvej 109, 2. th.,2920",3350000.0,Ordrup Skole,0.338,8.4,3.8,Ejerlejlighed, D,Mellem,24.17,16.0,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",6.0,85.0,85.0,6.412,1 toilet,1943,1.0,2920,https://www.boligsiden.dk/addresses/0a3f50a3-f222-32b8-e044-0003ba298018,0,1,0,0,0,0,0
"Grønnegården 541A,2670",1995000.0,Arenaskolen,0.686,6.0,3.6,Ejerlejlighed, C,Høj,24.42,16.94,"Der er 50.818 indbyggere i Greve Kommune. Kommuneskatten er på 24,42% og grundskyldspromillen på 16,94‰.",6.0,60.0,60.0,3.178,1 toilet,1986,1.0,2670,https://www.boligsiden.dk/addresses/0a3f50aa-f8ff-32b8-e044-0003ba298018,0,0,1,0,0,0,0
"Drabæk Huse 85,3450",4575000.0,Blovstrød Skole,0.429,8.4,3.9,Rækkehus, A2015,Høj,25.3,23.8,"Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",6.0,124.0,214.0,4.026,2 toiletter,2018,2.0,3450,https://www.boligsiden.dk/addresses/ff87225e-3350-464c-bf9f-515a985833d3,0,0,0,0,0,0,0
"Viborgvej 29B,8700",995000.0,Horsens Byskole,0.89,7.013960916948516,3.7173431040962046,Villa, G,Høj,25.39,22.56,"Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",6.0,72.0,384.0,1.199,1 toilet,1948,1.0,8700,https://www.boligsiden.dk/addresses/0a3f50bb-a1d4-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Ådalsvej 60, st. tv.,3600",2249000.0,Ådalens Skole,0.707,7.0,3.7,Ejerlejlighed, D,Høj,25.8,32.5,"Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",6.0,82.0,82.0,4.273,1 toilet,1964,1.0,3600,https://www.boligsiden.dk/addresses/0a3f50a8-6c6d-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Ibsvej 18,2680",12495000.0,Munkekærskolen,1.04,7.6,3.7,Villa, B,Mellem,24.9,20.95,"Der er 23.794 indbyggere i Solrød Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,95‰.",6.0,163.0,788.0,6.906,3 toiletter,2012,3.0,2680,https://www.boligsiden.dk/addresses/0a3f50ac-5be0-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Evaslundvej 149,9620",1095000.0,Vestrup Skole,2.91,6.863636363636363,3.7029411764705884,Landejendom, D,Høj,26.3,22.82,"Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",6.0,181.0,8583.0,1.945,1 toilet,1935,1.0,9620,https://www.boligsiden.dk/addresses/0a3f50c6-af97-32b8-e044-0003ba298018,0,0,0,0,1,1,0
"Sjællandsgade 13, 3. tv.,8900",399000.0,Hobrovejens Skole,0.423,6.3,3.8,Ejerlejlighed, D,Høj,25.8,27.93,"Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",6.0,52.0,52.0,1.667,1 toilet,1951,1.0,8900,https://www.boligsiden.dk/addresses/0a3f50c1-31e0-32b8-e044-0003ba298018,0,0,0,0,0,0,0
"Havvejen 15,9690",1395000.0,Fjerritslev Skole,9.2,6.4,3.6,Villa, E,Lav,25.7,32.85,"Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",6.0,118.0,2215.0,1.953,1 toilet,1972,1.0,9690,https://www.boligsiden.dk/addresses/0a3f50c7-3cd4-32b8-e044-0003ba298018,0,0,0,0,0,0,0
